fairness_name,dataset_name,num_epochs,learning_rate,CUSTOM_MAX,train_size,test_size,eta,gamma_0,gamma_1,fairness_weight,train_loss,alpha_train_loss,nd_train_loss,test_loss,alpha_test_loss,nd_test_loss,timestamp
Beta,synthetic,350,1e-05,SOFTMAX,4000,1000,0.01,0.2,0.1,2.7464013582652935,0.3681066036224365,0.01289536152034998,0.004699953831732273,0.37273108959198,0.018619945272803307,0.006946032401174307,1697109413000
Beta,synthetic,350,1e-05,SOFTMAX,4000,1000,0.01,0.2,0.1,10.334027365969234,0.3958697021007538,0.006102732848376036,0.002078624442219734,0.39936813712120056,0.011035077273845673,0.003668411634862423,1697109577000
Beta,synthetic,350,1e-05,SOFTMAX,4000,1000,0.01,0.2,0.1,0.37627520591150954,0.36665409803390503,0.01496304851025343,0.00637446716427803,0.3763750493526459,0.022245943546295166,0.008497852832078934,1697109158000
Beta,synthetic,350,1e-05,SOFTMAX,4000,1000,0.01,0.2,0.1,0.9102821015130401,0.3658290505409241,0.014559037983417511,0.005790057126432657,0.3727264404296875,0.021368108689785004,0.00811511930078268,1697109273000
Beta,synthetic,350,1e-05,SOFTMAX,4000,1000,0.01,0.2,0.1,25.000000000000007,0.46222734451293945,0.0007125238771550357,0.00024488079361617565,0.4627656936645508,0.0023788893595337868,0.0009232478332705796,1697109687000
Beta,synthetic,350,1e-05,SOFTMAX,4000,1000,0.01,0.2,0.1,20.045754549278776,0.4493408799171448,0.0010208254680037498,0.00033400297979824245,0.4506571590900421,0.0035565404687076807,0.0010844386415556073,1697109660000
Beta,synthetic,350,1e-05,SOFTMAX,4000,1000,0.01,0.2,0.1,0.2419192354989012,0.36557522416114807,0.014979975298047066,0.006371737457811832,0.37580782175064087,0.022143494337797165,0.00847154762595892,1697109104000
Alpha,synthetic,350,1e-05,SOFTMAX,4000,1000,0.01,0.2,0.1,0.020000000000000004,0.36722031235694885,0.3524656295776367,0.2218552529811859,0.37791702151298523,0.3448781371116638,0.2248554676771164,1697110664000
Beta,synthetic,350,1e-05,SOFTMAX,4000,1000,0.01,0.2,0.1,6.644073169646837,0.38707825541496277,0.00916901882737875,0.0033289501443505287,0.39162465929985046,0.012571253813803196,0.004722358658909798,1697109522000
Beta,synthetic,350,1e-05,SOFTMAX,4000,1000,0.01,0.2,0.1,1.7657483313448392,0.36531808972358704,0.014328457415103912,0.005827454850077629,0.3746787905693054,0.021227147430181503,0.008041457273066044,1697109358000
Beta,synthetic,350,1e-05,SOFTMAX,4000,1000,0.01,0.2,0.1,1.415830305837489,0.3690851628780365,0.01318067591637373,0.0052591064013540745,0.3752439022064209,0.019359465688467026,0.00738232396543026,1697109328000
Beta,synthetic,350,1e-05,SOFTMAX,4000,1000,0.01,0.2,0.1,0.15553753100100992,0.36600837111473083,0.015369410626590252,0.0067342729307711124,0.37447497248649597,0.02285297028720379,0.008784264326095581,1697109049000
Beta,synthetic,350,1e-05,SOFTMAX,4000,1000,0.01,0.2,0.1,3.4251658518438077,0.36948445439338684,0.012692295014858246,0.004919706378132105,0.3747616410255432,0.018956806510686874,0.00703855138272047,1697109440000
Beta,synthetic,350,1e-05,SOFTMAX,4000,1000,0.01,0.2,0.1,0.19397814462240573,0.3654352128505707,0.014947954565286636,0.006330555770546198,0.37445586919784546,0.022070005536079407,0.008459610864520073,1697109076000
Beta,synthetic,350,1e-05,SOFTMAX,4000,1000,0.01,0.2,0.1,0.729891663101283,0.36523306369781494,0.014390634372830391,0.005604189820587635,0.37472930550575256,0.02099229395389557,0.007921015843749046,1697109246000
Beta,synthetic,350,1e-05,SOFTMAX,4000,1000,0.01,0.2,0.1,0.585249165043728,0.36823299527168274,0.014379830099642277,0.005916397552937269,0.3743424713611603,0.021427558735013008,0.008151683956384659,1697109218000
Beta,synthetic,350,1e-05,SOFTMAX,4000,1000,0.01,0.2,0.1,8.286135043349967,0.3948131203651428,0.006759305950254202,0.0023980815894901752,0.395569771528244,0.011341284029185772,0.003988714888691902,1697109550000
Beta,synthetic,350,1e-05,SOFTMAX,4000,1000,0.01,0.2,0.1,16.07329101799723,0.42460185289382935,0.00222947308793664,0.0006466953200288117,0.4246232807636261,0.0069246310740709305,0.0022943755611777306,1697109632000
Beta,synthetic,350,1e-05,SOFTMAX,4000,1000,0.01,0.2,0.1,12.888049861836004,0.40834948420524597,0.004406260326504707,0.0014641633024439216,0.41098472476005554,0.0067977155558764935,0.0025559766218066216,1697109605000
Beta,synthetic,350,1e-05,SOFTMAX,4000,1000,0.01,0.2,0.1,0.30170881682725814,0.36483386158943176,0.014880058355629444,0.00598772382363677,0.37378841638565063,0.021744845435023308,0.008294747211039066,1697109131000
